"","Country","WHO_region","T0","T0/2","T0/3","T0/4","T0/5","Criterion","transform","filter","domain"
"76","Liberia","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"77","Madagascar","AFRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"78","Malawi","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"79","Mali","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"80","Mauritania","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"81","Mauritius","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"82","Mayotte","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"83","Mozambique","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"84","Namibia","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"85","Niger","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"86","Nigeria","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"87","Runion","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"88","Rwanda","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"89","Saint Helena Ascension and Tristan da Cunha","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"90","Sao Tome and Principe","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"91","Senegal","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"92","Seychelles","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"93","Sierra Leone","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"94","South Africa","AFRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"95","South Sudan","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"96","Togo","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"97","Uganda","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"98","United Republic of Tanzania","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"99","Zambia","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"100","Zimbabwe","AFRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"101","Anguilla","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"102","Antigua and Barbuda","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"103","Argentina","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"104","Aruba","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"105","Bahamas","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"106","Barbados","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"107","Belize","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"108","Bermuda","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"109","Bolivia (Plurinational State of)","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"110","Bonaire","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"111","Brazil","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"112","British Virgin Islands","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"113","Canada","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"114","Cayman Islands","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"115","Chile","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"116","Colombia","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"117","Costa Rica","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"118","Cuba","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"119","Curaao","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"120","Dominica","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"121","Dominican Republic","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"122","Ecuador","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"123","El Salvador","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"124","Falkland Islands (Malvinas)","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"125","French Guiana","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"126","Grenada","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"127","Guadeloupe","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"128","Guatemala","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"129","Guyana","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"130","Haiti","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"131","Honduras","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"132","Jamaica","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"133","Martinique","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"134","Mexico","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"135","Montserrat","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"136","Nicaragua","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"137","Panama","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"138","Paraguay","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"139","Peru","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"140","Puerto Rico","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"141","Saba","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"142","Saint Barthlemy","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"143","Saint Kitts and Nevis","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"144","Saint Lucia","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"145","Saint Martin","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"146","Saint Pierre and Miquelon","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"147","Saint Vincent and the Grenadines","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"148","Sint Eustatius","AMRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"149","Sint Maarten","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"150","Suriname","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"151","Trinidad and Tobago","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"152","Turks and Caicos Islands","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"153","United States Virgin Islands","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"154","United States of America","AMRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"155","Uruguay","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"156","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"157","Anguilla","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"158","Antigua and Barbuda","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"159","Argentina","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"160","Aruba","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"161","Bahamas","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"162","Barbados","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"163","Belize","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"164","Bermuda","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"165","Bolivia (Plurinational State of)","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"166","Bonaire","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"167","Brazil","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"168","British Virgin Islands","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"169","Canada","AMRO",0,0,1,0,0,"SC",0,"high-pass","frequency"
"170","Cayman Islands","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"171","Chile","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"172","Colombia","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"173","Costa Rica","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"174","Cuba","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"175","Curaao","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"176","Dominica","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"177","Dominican Republic","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"178","Ecuador","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"179","El Salvador","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"180","Falkland Islands (Malvinas)","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"181","French Guiana","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"182","Grenada","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"183","Guadeloupe","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"184","Guatemala","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"185","Guyana","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"186","Haiti","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"187","Honduras","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"188","Jamaica","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"189","Martinique","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"190","Mexico","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"191","Montserrat","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"192","Nicaragua","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"193","Panama","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"194","Paraguay","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"195","Peru","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"196","Puerto Rico","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"197","Saba","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"198","Saint Barthlemy","AMRO",0,1,1,0,0,"SC",0,"high-pass","frequency"
"199","Saint Kitts and Nevis","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"200","Saint Lucia","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"201","Saint Martin","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"202","Saint Pierre and Miquelon","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"203","Saint Vincent and the Grenadines","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"204","Sint Eustatius","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"205","Sint Maarten","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"206","Suriname","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"207","Trinidad and Tobago","AMRO",0,1,0,0,0,"SC",0,"high-pass","frequency"
"208","Turks and Caicos Islands","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"209","United States Virgin Islands","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"210","United States of America","AMRO",0,0,1,0,0,"SC",0,"high-pass","frequency"
"211","Uruguay","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"212","Venezuela (Bolivarian Republic of)","AMRO",0,0,0,0,0,"SC",0,"high-pass","frequency"
"213","Afghanistan","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"214","Bahrain","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"215","Djibouti","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"216","Egypt","EMRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
